@relation 'sales_clothes-weka.filters.unsupervised.attribute.NumericToNominal-R4-5,14-16,20-weka.filters.unsupervised.attribute.Remove-R1,21,22,23-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.GreedyStepwise -B -T -1.7976931348623157E308 -N -1 -num-slots 1'

@attribute rating_count numeric
@attribute rating_five_count numeric
@attribute rating_four_count numeric
@attribute rating_three_count numeric
@attribute rating_two_count numeric
@attribute rating_one_count numeric
@attribute product_variation_inventory numeric
@attribute merchant_rating numeric
@attribute units_sold {10,50,100,1000,5000,10000,20000,50000,100000}

@data
996,654,178,94,32,38,8,3.946791,5000
13,3,3,3,0,4,50,4.069015,100
792,450,150,88,35,69,6,3.910742,5000
1254,500,241,207,126,180,27,4.080891,5000
299,120,73,55,22,29,5,3.896074,1000
8904,4640,1964,1121,493,686,50,4.168097,20000
38,15,9,2,5,7,50,4.272059,100
5,3,2,0,0,0,12,4.122997,100
1008,447,201,135,81,144,50,4.268002,5000
6860,3906,1326,869,343,416,50,4.283611,20000
481,267,86,60,18,50,50,3.894761,1000
25,10,4,5,3,3,50,4.15528,100
2294,1099,449,362,154,230,25,4.153665,20000
49,16,11,10,5,7,50,4.011628,1000
28,11,3,1,3,10,2,3.696054,100
27,6,6,5,5,5,25,3.874033,100
267,148,44,40,15,20,50,4.125683,1000
8960,4468,1850,1277,583,782,50,4.204916,20000
32,19,5,1,3,4,50,4.123943,5000
359,180,74,49,28,28,50,4.330745,1000
1080,327,170,211,128,244,2,3.867547,5000
12,6,2,1,0,3,1,3.956065,100
2,0,1,0,0,1,36,3.774194,100
11,5,3,1,0,2,30,4.006692,1000
12,2,1,6,0,3,50,3.666667,100
219,101,36,38,15,29,2,4.152727,1000
3135,1695,721,416,140,163,45,3.92888,10000
761,476,128,90,34,33,50,4.151916,5000
177,73,36,31,12,25,34,4.156667,100
601,245,102,121,55,78,50,4.024765,5000
3,0,2,0,0,1,2,3.548387,10
31,9,5,5,3,9,1,3.995167,1000
51,20,13,10,2,6,1,3.942466,1000
21,8,4,6,3,0,3,3.772727,100
3,1,0,0,1,1,46,4.058952,50
151,70,31,16,12,22,50,3.94152,1000
24,8,5,6,0,5,50,4.385692,100
1042,384,146,158,98,256,4,3.870809,5000
3,0,1,0,0,2,50,4.001132,100
93,50,18,15,8,2,37,4.166932,100
449,165,50,83,49,102,50,4.216278,5000
9,5,2,0,0,2,25,4.080891,100
29,9,4,6,2,8,5,4.067416,100
792,398,163,112,54,65,50,4.141022,1000
548,305,87,78,29,49,21,3.968061,5000
168,77,32,26,7,26,50,3.735537,1000
31,17,7,4,1,2,20,3.974556,100
14,3,2,5,1,3,50,3.186047,100
9,5,2,0,0,2,50,4.101118,100
52,23,13,5,6,5,49,4.159493,100
288,133,75,39,18,23,50,3.901345,1000
4345,2341,878,607,230,289,50,4.168346,20000
998,526,202,147,46,77,50,4.251721,5000
15,5,3,2,3,2,3,3.891791,100
5,3,0,1,0,1,5,3.790698,50
71,41,7,10,7,6,3,4.181588,1000
0,0,0,0,0,0,50,3.837209,10
5641,2245,1059,999,562,776,50,4.03832,20000
2072,1314,374,208,73,103,50,4.395747,10000
49,16,11,10,5,7,50,4.011628,1000
894,396,161,128,78,131,17,4.278591,5000
357,155,65,51,25,61,50,4.066326,1000
6,2,2,2,0,0,4,4.159898,50
542,195,93,92,49,113,50,4.147415,1000
2441,1070,460,373,181,357,50,4.066326,10000
205,57,25,43,23,57,10,4.159667,1000
215,94,32,40,23,26,50,4.063525,1000
505,295,108,36,23,43,9,4.348798,1000
1378,747,317,172,66,76,15,4.001546,5000
1978,951,368,285,144,230,10,4.055029,10000
21,5,2,4,4,6,50,3.580645,100
72,31,14,8,6,13,2,4.087339,100
27,9,8,5,2,3,5,4.040595,100
1045,383,181,188,109,184,50,3.946309,5000
573,174,96,97,69,137,13,4.11387,5000
556,308,90,69,39,50,50,3.939482,5000
1741,1074,324,191,73,79,50,4.183387,10000
1792,802,331,255,146,258,50,3.907168,10000
162,70,32,26,10,24,50,3.96472,1000
2,2,0,0,0,0,5,3.874016,50
18,6,5,4,0,3,5,3.855172,100
11062,4663,2418,1868,842,1271,10,4.052504,100000
3229,1834,691,340,140,224,18,4.250529,10000
0,0,0,0,0,0,50,4.295124,10
1,0,0,0,1,0,3,3.824561,50
7,5,1,1,0,0,2,3.814754,100
602,186,104,97,52,163,9,3.894737,1000
25,17,0,2,2,4,50,4.277078,100
18,13,3,0,1,1,50,4.12491,100
646,334,106,94,41,71,22,4.160274,1000
197,109,37,25,6,20,50,4.158238,1000
23,9,3,4,5,2,17,3.933581,100
798,469,174,88,30,37,50,4.236471,5000
8,5,0,1,2,0,5,3.874016,100
579,295,119,87,42,36,50,4.020435,5000
939,496,209,124,49,61,47,3.949224,5000
48,22,8,9,3,6,4,4.253287,100
6,3,1,1,1,0,5,4.09716,100
1426,659,287,219,112,149,50,3.982249,10000
1109,658,217,131,33,70,50,4.274866,5000
646,261,140,109,43,93,50,3.891954,1000
409,158,67,74,41,69,50,3.875963,1000
39,16,8,2,4,9,1,4.105556,100
103,60,20,13,5,5,50,3.910343,1000
569,243,90,88,59,89,2,3.938201,10000
1754,1064,353,184,65,88,4,4.156198,5000
8,3,0,1,0,4,29,3.917449,100
21,9,7,2,0,3,50,4.318315,100
6,4,1,1,0,0,50,3.867547,100
1312,491,217,228,145,231,43,3.884544,10000
2753,1428,522,385,171,247,50,3.975624,10000
1561,897,289,149,74,152,1,4.092914,5000
13,5,3,1,2,2,50,4.155932,100
3,1,1,0,0,1,7,4.039474,50
135,69,25,23,10,8,50,3.748794,1000
221,103,59,33,7,19,6,4.004267,1000
1124,572,183,153,62,154,50,4.084969,20000
13789,6862,2836,2131,901,1059,50,4.036081,100000
82,43,18,11,2,8,50,4.217899,100
11,7,1,0,1,2,50,3.473684,100
28,8,6,3,4,7,50,3.534647,100
11,4,4,0,1,2,50,4.264327,100
4082,2138,667,637,255,385,50,3.998651,20000
903,378,190,143,80,112,50,3.965701,10000
10,4,3,2,1,0,3,4.006692,100
1412,504,299,211,129,269,46,4.149262,10000
309,111,64,63,33,38,50,3.945946,5000
222,81,44,42,14,41,50,3.897141,1000
38,13,5,8,4,8,50,3.732143,100
2892,1352,574,443,227,296,50,3.97507,10000
3679,2077,783,446,192,181,50,4.187814,10000
113,82,17,7,3,4,50,4.047725,100
12,2,2,6,1,1,50,3.646465,100
4,3,0,0,0,1,29,4.032956,100
2878,1646,632,324,126,150,50,3.96752,20000
783,268,129,155,102,129,7,3.884544,5000
687,281,151,114,61,80,50,4.220091,1000
2440,1415,448,305,116,156,50,4.007149,20000
1586,716,284,260,118,208,50,4.1524,10000
4,3,0,0,0,1,50,4.352941,50
131,79,25,14,6,7,7,4.231842,1000
54,19,8,17,3,7,2,4.006692,1000
56,20,14,10,7,5,50,4.194554,100
2160,985,356,320,156,343,50,4.023291,20000
876,355,168,112,70,171,50,3.903586,5000
2422,1056,419,375,190,382,50,4.310433,10000
844,440,187,114,44,59,50,3.908535,5000
824,441,165,112,43,63,50,4.048356,5000
609,306,112,88,41,62,50,3.923459,5000
1061,536,212,180,63,70,50,4.105967,5000
113,65,16,15,8,9,50,4.463064,100
22,9,5,4,1,3,5,4.024055,100
418,180,74,65,36,63,50,4.017601,10000
1,0,0,0,1,0,3,3.824561,50
1589,770,391,248,77,103,9,4.19427,10000
58,36,13,3,2,4,5,3.88381,100
8,5,1,0,0,2,1,3.736527,50
1938,870,366,287,159,256,50,3.94109,10000
1514,819,323,188,71,113,25,4.022153,5000
4,1,1,1,1,0,3,3.760287,10
538,287,90,69,41,51,6,3.775451,5000
309,146,53,51,32,27,50,3.92888,1000
4,3,0,0,0,1,29,4.032956,100
2826,1573,546,374,147,186,6,4.121484,20000
663,385,119,84,28,47,50,4.100616,5000
22,5,5,4,3,5,50,3.967611,100
2519,1158,545,370,181,265,50,4.024697,10000
602,186,104,97,52,163,9,3.894737,1000
55,17,6,11,6,15,1,3.930573,100
146,61,32,15,14,24,50,4.143055,1000
141,64,22,19,7,29,50,3.881464,1000
2,2,0,0,0,0,13,4.224605,100
7,4,0,1,1,1,5,3.545024,50
4304,2089,901,650,287,377,50,4.079886,20000
1061,351,192,184,110,224,30,4.080891,10000
0,0,0,0,0,0,5,4.333333,100
71,20,17,19,4,11,50,3.761589,100
8,5,1,0,0,2,1,3.736527,50
13,13,0,0,0,0,50,3.65942,100
23,10,2,5,3,3,30,3.856617,100
12,4,3,3,1,1,2,4.29147,100
187,80,33,31,11,32,50,4.089722,1000
6,3,0,1,1,1,5,3.786325,100
887,305,161,140,97,184,50,3.681685,5000
24,6,2,5,1,10,1,4.018767,100
11,3,1,3,1,3,50,4.484397,100
111,77,14,10,6,4,50,4.212403,100
325,130,61,48,24,62,50,3.793734,1000
12,8,2,0,1,1,50,4.05492,100
28,14,4,5,2,3,2,4.390326,100
605,210,144,117,56,78,24,4.014181,1000
2148,822,539,410,169,208,50,4.203725,10000
1,1,0,0,0,0,5,4.17305,10
1224,569,278,175,67,135,34,3.981073,5000
57,30,12,10,0,5,2,3.951488,100
94,54,16,13,2,9,50,4.044845,1000
647,227,134,98,64,124,9,4.231746,5000
28,12,6,2,2,6,1,3.952,100
1786,660,264,301,162,399,4,3.732473,10000
7088,3367,1510,1148,469,594,50,4.095288,50000
27,14,8,1,1,3,50,4.336583,100
237,138,50,26,9,14,50,4.264659,1000
127,70,30,10,7,10,50,4.306358,1000
1163,559,212,135,77,180,2,3.959995,5000
2324,1009,401,358,212,344,50,4.227585,10000
1797,885,366,230,139,177,50,4.124874,10000
72,17,19,12,8,16,10,3.729167,100
434,146,58,59,38,133,3,3.775451,5000
21,9,7,2,0,3,50,4.318315,100
245,77,44,39,19,66,50,4.012954,1000
426,216,77,60,34,39,50,3.984157,1000
0,0,0,0,0,0,50,3.966035,10
3648,2418,548,327,126,229,1,4.292266,20000
11,4,1,1,3,2,9,3.409471,100
1892,780,431,317,147,217,48,4.030461,5000
1273,735,295,134,55,54,50,4.102321,5000
477,181,112,75,43,66,50,4.14603,1000
4266,2611,850,449,145,211,50,4.256077,20000
167,93,32,18,5,19,50,3.872044,1000
3,1,2,0,0,0,50,4.002933,50
510,267,103,67,35,38,50,4.237548,10000
856,475,171,112,49,49,50,4.145661,5000
12,7,1,2,0,2,47,4.04964,100
1903,994,449,234,85,141,50,4.052917,5000
46,23,12,6,1,4,50,3.884544,100
1232,588,250,188,81,125,50,4.05448,10000
643,365,109,73,33,63,2,4.006692,5000
2,0,1,0,1,0,1,4.069015,50
60,35,10,7,4,4,2,3.707892,100
127,29,17,19,17,45,5,3.956811,1000
2211,1123,468,354,117,149,50,4.032947,10000
392,127,65,69,40,91,2,3.849593,5000
435,191,87,69,41,47,50,4.288179,1000
7022,3502,1523,1145,416,436,50,4.049157,20000
3,3,0,0,0,0,3,4.247492,100
10,6,1,2,0,1,50,4.155032,100
542,283,111,69,29,50,50,4.216695,5000
1,0,0,0,0,1,20,3.515748,50
8,3,1,1,0,3,50,4.079886,100
0,0,0,0,0,0,50,3.625,10
41,25,6,7,1,2,50,3.8585,100
2841,1352,636,397,185,271,16,3.871635,10000
371,137,64,69,40,61,50,4.062361,5000
228,59,38,36,32,63,50,4.032865,1000
697,385,125,81,48,58,2,4.105461,10000
8164,2936,1396,1547,970,1315,50,4.096234,50000
907,601,187,84,16,19,50,4.397351,5000
81,29,20,13,7,12,50,3.856884,1000
4,1,0,0,2,1,5,3.89949,100
10,3,1,3,1,2,1,3.990638,100
129,81,19,12,3,14,50,3.940159,1000
4,2,1,0,1,0,50,4.021148,10
12,7,2,2,0,1,50,3.923077,50
304,126,66,44,23,45,50,4.024242,1000
109,26,25,17,14,27,1,3.964592,1000
2587,1511,479,275,115,207,50,4.30699,10000
1612,777,367,241,112,115,50,3.939482,10000
28,7,3,6,2,10,1,3.034483,100
5,2,2,0,0,1,10,4.020435,100
10,2,2,4,1,1,50,3.951488,100
144,91,28,15,2,8,50,4.323908,1000
17,7,3,4,1,2,18,4.212887,100
794,500,152,86,26,30,50,4.337349,1000
28,7,11,4,2,4,50,4.071651,100
2069,884,343,331,184,327,50,3.901216,10000
6735,3278,1411,998,431,617,2,4.256077,50000
2189,917,374,331,223,344,38,4.04517,20000
238,129,42,27,7,33,1,4.04517,1000
762,461,150,64,24,63,50,4.308276,1000
33,14,7,4,3,5,50,4.299207,100
26,18,4,1,1,2,50,4.047619,100
76,38,21,5,8,4,50,4.233683,100
22,13,5,3,1,0,3,3.952836,100
579,190,108,94,70,117,50,4.058391,5000
921,447,203,145,62,64,1,4.216413,5000
643,365,109,73,33,63,2,4.006692,5000
1002,590,195,124,41,52,50,4.088905,5000
76,35,10,13,8,10,4,4.041371,1000
22,5,3,7,1,6,50,3.934967,100
2,0,1,0,1,0,1,4.069015,50
252,136,52,31,10,23,50,3.849511,1000
201,73,44,29,18,37,50,3.776637,1000
132,56,34,20,9,13,50,3.837956,1000
6,4,1,1,0,0,50,3.867547,100
54,23,11,10,3,7,50,3.954443,1000
2006,748,417,331,194,316,50,4.000143,10000
6,3,1,1,1,0,7,4.039128,100
79,26,17,18,7,11,50,3.870735,1000
201,108,50,27,6,10,3,4.417272,1000
79,29,16,10,7,17,50,3.950403,100
408,212,89,56,29,22,50,3.967484,1000
64,28,7,9,9,11,10,4.02446,1000
8,2,4,1,1,0,50,3.884615,50
317,194,59,29,13,22,50,4.242653,1000
4,1,1,0,1,1,50,4.001277,100
8412,4299,1527,1177,527,882,2,4.046825,20000
18,5,6,1,3,3,3,3.682759,100
6689,3566,1389,942,352,440,50,4.049157,20000
518,240,89,77,37,75,50,4.016773,1000
15,9,2,3,0,1,5,3.722222,50
4,1,1,2,0,0,35,4.100616,100
220,136,35,28,9,12,50,3.900295,1000
0,0,0,0,0,0,50,5,100
654,340,129,106,35,44,14,4.064925,5000
808,381,180,110,68,69,50,3.90836,1000
757,360,132,116,55,94,50,4.203725,5000
191,89,26,31,14,31,1,3.95879,1000
904,395,177,135,64,133,50,4.084799,10000
899,390,198,130,65,116,20,4.046734,1000
1982,938,384,292,136,232,50,4.137582,10000
3216,1138,523,521,324,710,50,3.801684,20000
0,0,0,0,0,0,1,3.989831,10
9,2,1,3,1,2,50,2.941176,100
410,247,89,40,15,19,50,3.84247,1000
429,185,83,81,30,50,50,3.821186,5000
567,170,89,91,72,145,50,3.849511,10000
41,20,7,9,1,4,50,4.049157,100
50,29,12,4,2,3,50,4.143966,100
191,89,26,31,14,31,1,3.95879,1000
10150,4974,2091,1409,655,1021,12,4.068665,20000
454,231,118,49,21,35,50,4.334078,1000
442,220,111,72,23,16,50,4.061359,1000
153,85,22,24,7,15,50,3.912476,1000
1632,836,306,221,103,166,34,4.040497,5000
7,6,1,0,0,0,30,4.228007,100
3078,2050,550,276,87,115,2,4.101385,10000
39,11,8,3,7,10,3,3.68932,100
87,22,10,23,10,22,3,3.676724,1000
58,27,18,7,2,4,3,4.04065,100
12,2,2,4,1,3,1,3.97541,100
57,29,16,2,5,5,50,4.231842,100
235,127,49,26,7,26,50,4.097967,1000
140,66,35,15,5,19,50,4.193589,1000
142,56,32,30,8,16,50,3.8585,1000
958,571,171,116,53,47,50,4.2939,5000
37,16,10,3,5,3,50,3.948409,100
1711,702,339,272,144,254,29,4.138885,20000
2706,1095,597,464,222,328,49,4.07328,20000
719,356,111,103,59,90,50,4.166509,5000
34,27,4,1,1,1,5,4.226621,100
299,72,47,59,36,85,50,3.873083,5000
332,149,56,57,20,50,10,4.064476,1000
8971,3598,1821,1607,808,1137,50,4.105127,20000
100,59,16,10,5,10,4,4.078095,1000
51,29,9,8,1,4,50,4.263681,100
0,0,0,0,0,0,6,4.074203,50
3,1,0,0,1,1,46,4.058952,50
1742,732,322,264,147,277,5,3.918755,20000
1632,584,289,276,149,334,50,4.081783,5000
69,25,9,8,11,16,50,3.850613,100
734,248,153,135,67,131,50,4.226463,5000
0,0,0,0,0,0,50,3.884615,10
18,3,2,5,1,7,3,3.894761,100
72,20,17,9,6,20,39,3.417722,100
61,28,11,12,2,8,50,4.216386,100
449,230,87,60,25,47,50,4.025364,1000
893,364,140,157,92,140,50,4.087737,10000
364,212,61,38,20,33,50,4.149141,1000
651,333,114,97,39,68,19,4.279492,1000
437,183,80,63,42,69,50,4.227531,5000
40,10,11,8,2,9,50,3.964592,100
25,10,4,5,3,3,50,4.15528,100
2068,1245,418,247,68,90,50,4.356188,10000
2877,1046,453,522,289,567,50,4.156715,20000
1109,555,182,172,81,119,2,4.153665,10000
2082,1201,398,241,94,148,50,4.217771,5000
134,84,19,22,2,7,50,3.862314,1000
2694,1383,591,342,153,225,50,4.243712,10000
22,13,5,3,1,0,3,3.952836,100
545,295,113,65,27,45,17,3.981623,1000
1926,740,405,345,164,272,50,3.954443,5000
1285,469,286,252,94,184,50,3.795238,10000
11408,5065,2342,1964,890,1147,50,4.049157,50000
813,387,168,120,65,73,50,4.238173,5000
6,3,0,3,0,0,4,3.860908,50
827,445,159,103,45,75,50,4.193589,5000
392,127,65,69,40,91,2,3.849593,5000
462,189,89,74,41,69,50,4.136395,1000
9337,4487,1955,1532,658,705,50,3.99759,20000
1910,1141,329,212,88,140,50,4.167805,10000
3,0,2,0,1,0,3,3.914894,10
3,0,2,0,1,0,3,3.914894,10
2,0,0,1,0,1,46,4.074203,100
8,5,1,0,0,2,1,3.943019,50
27,8,8,4,1,6,50,3.833481,100
10,5,3,1,0,1,10,4.022944,100
61,38,6,8,2,7,2,4.076972,100
282,127,47,58,20,30,15,4.038734,1000
49,28,13,5,2,1,3,4.136723,1000
67,27,15,6,7,12,1,3.95879,100
1838,1253,351,139,42,53,50,4.161797,10000
566,239,71,85,56,115,15,3.96752,1000
36,20,6,5,2,3,50,4.274866,100
45,28,4,9,0,4,50,3.885161,1000
12,1,4,2,0,5,1,4.137582,100
5685,1813,1162,1071,609,1030,50,4.156715,20000
120,47,21,20,15,17,49,4.137452,1000
510,181,83,77,58,111,15,4.070618,5000
1799,960,346,285,97,111,50,4.127921,20000
4378,2301,939,572,248,318,50,4.288493,20000
740,361,137,117,53,72,2,4.047959,5000
8,5,3,0,0,0,18,4.185185,50
42,16,6,7,4,9,50,3.838384,100
3560,1950,776,428,184,222,50,3.984837,10000
15,7,3,2,1,2,50,3.889677,100
901,528,197,105,32,39,50,4.176998,5000
511,211,107,89,39,65,29,4.056888,1000
719,460,128,71,34,26,1,4.013813,5000
5929,3030,1257,884,326,432,15,4.083567,20000
4421,2638,851,473,213,246,50,4.387414,20000
57,24,10,5,9,9,2,4.213422,100
25,5,6,5,5,4,9,3.968061,100
27,9,8,5,2,3,5,4.040595,100
578,367,122,50,15,24,50,4.179445,1000
3,2,0,1,0,0,50,3.955434,100
542,283,111,69,29,50,50,4.216695,5000
0,0,0,0,0,0,5,4.5,100
71,29,10,15,6,11,50,4.069015,100
98,46,24,14,6,8,50,4.276726,100
4,3,0,0,1,0,1,4.035714,50
747,270,138,157,64,118,1,4.069536,5000
47,40,3,3,1,0,50,4.002933,1000
233,91,57,28,17,40,1,3.885538,1000
6360,3029,1251,982,455,643,50,4.098557,20000
8609,3624,1733,1531,761,960,50,3.924677,20000
3572,1328,706,611,377,550,50,4.017133,20000
3079,1891,631,367,99,91,41,4.293241,10000
10,7,2,0,0,1,11,3.918755,100
18,7,3,5,1,2,44,4.04517,100
13,5,5,1,2,0,5,3.790698,100
996,654,178,94,32,38,8,3.946791,5000
4,0,0,2,1,1,2,3.777778,10
31,19,5,5,1,1,50,3.832535,100
439,252,76,55,19,37,50,4.260596,1000
21,10,5,2,2,2,1,4.068783,100
277,177,58,28,6,8,50,4.254335,1000
149,63,33,23,11,19,7,4.138885,1000
4,1,2,1,0,0,45,3.91574,100
82,18,11,21,7,25,5,4.079365,100
49,15,8,12,4,10,50,3.732143,100
531,171,92,91,58,119,9,4.055029,5000
11,4,1,1,3,2,9,3.409471,100
435,191,87,69,41,47,50,4.288179,1000
878,381,145,144,83,125,48,3.986207,5000
69,33,15,10,2,9,50,3.82857,100
1669,1032,341,185,57,54,50,4.32383,10000
450,184,85,85,42,54,11,4.237543,1000
95,33,17,15,9,21,3,4.109621,1000
270,141,55,32,20,22,50,4.209313,1000
45,11,11,7,5,11,1,3.381868,100
3,1,1,0,0,1,50,4.368336,100
614,339,114,70,34,57,50,4.032956,1000
775,411,158,102,56,48,50,4.105967,5000
28,11,3,3,6,5,50,4.324935,100
2557,1228,552,394,165,218,10,3.884544,10000
404,173,87,68,31,45,1,4.068665,1000
46,22,9,6,2,7,50,3.811276,1000
1269,639,288,173,72,97,10,4.054423,5000
341,163,63,48,21,46,50,4.150356,1000
27,16,5,3,0,3,50,4.135949,100
1020,486,239,161,49,85,50,4.256077,5000
29,12,5,6,3,3,50,4.024242,100
45,14,3,10,5,13,50,4.053972,100
254,147,57,26,11,13,3,4.201298,1000
1116,583,189,153,80,111,50,4.145336,10000
2328,1184,545,329,116,154,50,4.203401,10000
31,15,8,3,4,1,1,4.117445,1000
86,57,16,6,4,3,1,4.117445,100
7596,2679,1403,1317,793,1404,50,4.310188,20000
1355,716,272,155,75,137,1,4.199604,5000
784,410,160,113,44,57,50,4.2939,5000
1649,570,245,276,190,368,11,3.9824,10000
6,3,1,1,0,1,5,3.545024,100
34,13,7,4,3,7,50,3.952584,100
