@relation sales_clothes

@attribute No. numeric
@attribute price numeric
@attribute retail_price numeric
@attribute units_sold numeric
@attribute uses_ad_boosts numeric
@attribute rating numeric
@attribute rating_count numeric
@attribute rating_five_count numeric
@attribute rating_four_count numeric
@attribute rating_three_count numeric
@attribute rating_two_count numeric
@attribute rating_one_count numeric
@attribute badges_count numeric
@attribute badge_local_product numeric
@attribute badge_product_quality numeric
@attribute badge_fast_shipping numeric
@attribute product_color {white,green,other,black,yellow,blue,pink,grey,red,dual,brown,beige}
@attribute product_variation_size_id {M,XS,S,XXS,L,XXL,OTHER,XXXXXL,XXXL,XL,XXXS,XXXXL}
@attribute product_variation_inventory numeric
@attribute shipping_option_price numeric
@attribute countries_shipped_to numeric
@attribute inventory_total numeric
@attribute origin_country {CN,US,VE,AT,SG,GB}
@attribute merchant_rating numeric

@data
36,8,17,100,1,2.75,8,2,0,3,0,3,0,0,0,0,blue,S,50,3,40,50,CN,4.025364
37,14,12,5000,1,4.06,643,365,109,73,33,63,0,0,0,0,blue,XXS,2,3,43,50,CN,4.006692
38,5.8,8,100,1,3.83,6,3,1,1,0,1,0,0,0,0,green,XS,1,1,43,50,CN,3.920853
39,13,13,1000,0,4.16,138,82,27,10,7,12,1,0,1,0,pink,S,50,3,41,50,CN,3.981337
40,9,81,50000,0,4.26,5359,3111,1172,650,204,222,1,0,1,0,black,L,50,3,40,50,CN,4.105054
41,7,68,10,0,1.5,2,0,0,0,1,1,0,0,0,0,white,S,50,2,43,50,CN,3.858942
42,12,14,100,1,3.79,24,11,6,2,1,4,0,0,0,0,black,S,50,3,22,50,CN,4.020408
43,3.69,40,100,0,3.53,59,22,11,12,4,10,0,0,0,0,grey,XS,2,1,24,50,CN,4.364844
44,5,5,10000,1,3.82,3208,1467,607,558,241,335,1,1,0,0,white,OTHER,50,1,63,50,CN,4.151395
45,5.84,56,100,0,3.28,36,11,4,11,4,6,0,0,0,0,green,S,50,1,43,50,CN,4.017488
46,16,14,10,0,3,3,0,2,0,0,1,0,0,0,0,green,S,2,4,34,50,CN,3.548387
47,13,50,1000,0,4.03,855,451,165,120,51,68,0,0,0,0,dual,S,50,3,32,50,CN,4.085705
48,9,8,10000,0,3.18,1783,535,289,344,189,426,0,0,0,0,white,S,50,3,24,50,CN,3.908535
49,7,6,100,0,3.8,61,28,11,12,2,8,0,0,0,0,black,S,50,2,45,50,CN,4.216386
50,11,20,100,0,3.43,14,5,3,2,1,3,0,0,0,0,white,S,50,2,34,50,CN,4.174679
51,5.84,11,1000,0,4.19,307,171,71,35,12,18,0,0,0,0,blue,XXS,1,1,40,50,CN,4.172786
52,1,11,1000,1,3.8,5,3,0,1,0,1,0,0,0,0,blue,XXS,37,1,41,50,CN,3.858119
53,11,60,1000,1,3.38,37,15,3,9,1,9,0,0,0,0,white,S,49,2,25,50,CN,3.960171
54,9,8,5000,1,4.03,889,464,178,126,52,69,0,0,0,0,dual,L,50,3,33,50,CN,4.108849
55,6,56,1000,1,3.5,938,349,171,173,88,157,0,0,0,0,red,OTHER,1,2,28,50,CN,3.8767
57,9,8,5000,0,4.06,743,400,142,103,45,53,0,0,0,0,other,S,50,3,41,50,CN,3.999371
58,6,6,100,0,4,8,5,0,1,2,0,0,0,0,0,dual,XS,5,2,23,50,CN,3.874016
59,11,68,1000,0,4.13,211,120,37,31,8,15,0,0,0,0,red,M,50,2,40,50,CN,4.215228
60,7,6,50,0,4,4,3,0,0,0,1,0,0,0,0,blue,XS,50,2,139,50,CN,4.352941
61,5,38,50,1,5,2,2,0,0,0,0,0,0,0,0,green,XS,17,1,33,50,CN,3.666667
62,2.72,3,100,1,3.1,20,6,4,2,2,6,0,0,0,0,yellow,S,1,1,35,50,CN,4.001588
63,5.87,11,1000,1,3.91,209,100,41,34,17,17,0,0,0,0,white,S,6,1,29,50,CN,4.391304
64,11,10,5000,0,3.72,1008,447,201,135,81,144,0,0,0,0,white,M,50,2,25,50,CN,4.268002
65,8,10,100,0,2.71,7,1,1,2,1,2,0,0,0,0,red,XS,4,3,20,50,CN,3.892857
66,14,67,1000,0,3.81,187,84,40,28,14,21,0,0,0,0,blue,M,50,4,40,50,CN,4.150756
67,2,9,100,0,3.47,32,11,6,5,7,3,0,0,0,0,white,XXS,1,1,40,50,CN,4.167628
68,8,7,10000,1,3.93,1670,823,340,250,89,168,0,0,0,0,yellow,M,50,3,30,50,CN,4.137582
69,5.79,30,1000,1,3.41,212,73,49,23,25,42,0,0,0,0,white,XS,50,2,118,50,CN,4.189844
70,8,22,100,1,3.74,47,24,5,6,6,6,0,0,0,0,red,S,50,3,41,50,CN,3.876762
71,4.94,5,10000,1,3.93,1331,659,255,199,101,117,0,0,0,0,dual,M,6,1,49,50,CN,4.121484
72,8,7,10000,0,3.82,2520,1220,433,365,203,299,0,0,0,0,other,M,50,3,14,50,CN,3.87201
73,11,10,100,1,3.46,50,20,7,8,6,9,0,0,0,0,black,S,50,3,41,50,CN,4.30112
74,8,33,10,0,5,0,0,0,0,0,0,0,0,0,0,black,S,50,2,25,50,CN,4.169786
75,9,33,50,1,4.5,4,2,2,0,0,0,0,0,0,0,white,S,50,3,41,50,CN,4.120281
76,7,6,100,0,4.26,53,30,14,5,1,3,0,0,0,0,green,S,50,2,31,50,CN,3.837956
77,11,10,10000,0,4.24,1045,644,183,114,38,66,0,0,0,0,blue,S,50,3,36,50,CN,4.289674
78,8,92,100,0,3.56,16,6,5,0,2,3,0,0,0,0,yellow,S,50,2,55,50,CN,3.968061
79,5.83,5,10000,1,4.22,2055,1162,488,212,83,110,0,0,0,0,other,S,1,1,35,50,CN,4.146957
80,8,7,1000,0,3.42,373,144,57,60,35,77,0,0,0,0,pink,S,50,2,63,50,CN,3.965204
81,5.77,5,100,1,4,4,1,2,1,0,0,0,0,0,0,green,S,45,1,31,50,CN,3.91574
82,5.9,5,10000,0,3.64,1933,867,298,299,151,318,0,0,0,0,grey,XS,4,1,30,50,CN,3.951817
83,6,20,100,0,3.08,13,4,2,2,1,4,0,0,0,0,red,S,50,2,43,50,CN,3.931196
84,7,6,50000,1,4.41,17444,11548,3191,1632,507,566,1,0,1,0,green,M,2,2,35,50,CN,4.146957
85,8,7,10000,1,3.7,1404,593,278,232,124,177,0,0,0,0,pink,M,1,2,48,50,CN,3.93753
86,12,11,1000,0,3.81,341,163,63,48,21,46,0,0,0,0,dual,S,50,3,13,50,CN,4.150356
87,5.78,8,20000,1,4,3975,2054,774,576,242,329,0,0,0,0,pink,XS,50,1,29,50,CN,4.184134
88,12,17,5000,0,3.94,387,189,76,67,21,34,0,0,0,0,white,S,50,3,43,50,CN,3.978261
89,11,10,20000,1,4.07,3070,1635,642,392,177,224,0,0,0,0,other,L,50,2,35,50,CN,3.965701
90,8,51,100,0,4.29,31,19,5,5,1,1,1,0,1,0,pink,S,50,2,43,50,CN,3.832535
91,11,10,100,1,3.46,50,20,7,8,6,9,0,0,0,0,black,S,50,3,41,50,CN,4.30112
92,5.77,48,100000,0,4.1,20744,11184,4152,2919,1174,1315,0,0,0,0,black,XS,50,2,46,50,CN,4.067348
93,9,8,20000,0,3.7,3820,1726,654,568,324,548,0,0,0,0,grey,M,44,3,20,50,CN,4.064643
94,1.72,2,100,1,3.77,30,15,3,5,4,3,0,0,0,0,green,XS,10,1,48,50,CN,3.884544
95,1.86,9,100,1,3.57,42,17,9,4,5,7,0,0,0,0,pink,XS,2,1,40,50,CN,3.943019
96,14,92,100,1,4.54,13,10,2,0,0,1,0,0,0,0,black,XS,50,3,36,50,CN,4.185185
97,3.69,4,1000,0,3.64,212,95,33,32,16,36,0,0,0,0,red,XS,5,1,24,50,CN,4.039128
98,5.79,42,1000,0,3.32,121,36,24,23,19,19,0,0,0,0,red,S,50,2,43,50,CN,3.947472
99,11,30,100,1,4.11,28,17,4,3,1,3,2,1,0,1,dual,OTHER,2,3,45,50,CN,4.21046
100,9,8,100,1,3.18,72,17,19,12,8,16,0,0,0,0,red,S,10,3,26,50,CN,3.729167
101,6,8,10000,0,3.96,1338,685,257,187,72,137,0,0,0,0,black,L,50,2,43,50,CN,3.801684
102,20,17,100,1,2.8,15,2,3,5,0,5,0,0,0,0,green,OTHER,50,6,36,50,CN,3.298507
103,5.66,5,5000,0,3.89,1161,558,242,159,75,127,0,0,0,0,black,S,50,2,42,50,CN,4.285598
104,8,65,100,0,3.97,29,18,1,5,1,4,0,0,0,0,white,S,1,2,33,50,CN,3.882845
105,8,7,1000,1,3.61,668,254,155,102,61,96,0,0,0,0,yellow,XXS,10,2,39,50,CN,4.098557
106,6,6,1000,1,3.82,134,62,26,23,6,17,0,0,0,0,grey,S,1,2,35,50,CN,3.844776
107,11,10,5000,0,3.96,1556,743,338,258,110,107,0,0,0,0,black,S,50,3,23,50,CN,4.252711
108,7,6,1000,1,4.2,107,66,13,18,3,7,0,0,0,0,white,XS,3,2,26,50,CN,3.94332
109,11,10,10000,0,3.77,1694,725,376,272,112,209,0,0,0,0,red,XS,50,3,31,50,CN,4.000143
110,5.81,30,100,0,2.61,18,3,2,5,1,7,0,0,0,0,green,XS,3,2,41,50,CN,3.894761
111,14,12,10000,0,3.93,2946,1427,614,452,180,273,0,0,0,0,blue,XXXXXL,36,4,26,50,CN,3.885538
112,5,51,10,0,5,0,0,0,0,0,0,0,0,0,0,black,XS,1,1,36,50,CN,3.989831
113,5,5,100,1,4.3,10,6,2,1,1,0,0,0,0,0,black,XXS,3,2,22,50,CN,4.167979
114,11,10,1000,0,4.12,249,143,48,24,12,22,0,0,0,0,other,S,50,2,21,50,CN,3.85193
115,12,67,10,0,3.67,3,2,0,0,0,1,0,0,0,0,pink,XS,20,3,32,50,CN,4.008403
116,5.68,5,10,0,4.5,2,1,1,0,0,0,0,0,0,0,blue,OTHER,50,2,109,50,CN,4.5125
117,11,10,100,1,4,12,7,1,2,1,1,0,0,0,0,black,S,50,2,32,50,VE,4.014652
118,17,15,10000,0,4.16,3040,1782,565,332,123,238,1,0,1,0,other,S,50,5,52,50,CN,4.352612
119,7,43,100,0,3.71,21,10,5,0,2,4,0,0,0,0,blue,S,9,2,40,50,CN,3.878167
120,12,85,50,1,4.75,4,3,1,0,0,0,0,0,0,0,green,S,18,3,35,50,CN,4.175439
121,7,6,100,0,5,2,2,0,0,0,0,0,0,0,0,black,S,50,2,41,50,CN,3.970731
122,7,33,50,0,3,2,0,1,0,1,0,0,0,0,0,blue,S,50,2,41,50,CN,4.001546
123,11,59,1000,0,4.11,135,75,24,19,10,7,0,0,0,0,yellow,M,50,2,41,50,CN,4.057185
124,12,43,100,0,3.59,27,7,9,7,1,3,0,0,0,0,pink,M,50,3,42,50,CN,3.948409
125,13,51,5000,0,3.61,127,59,16,20,7,25,0,0,0,0,yellow,S,50,3,43,50,CN,3.946416
126,2.72,9,1,0,5,0,0,0,0,0,0,0,0,0,0,other,XS,1,1,33,50,CN,3.597884
127,6,6,20000,1,3.99,1600,809,322,238,100,131,0,0,0,0,green,L,50,2,33,50,CN,4.108849
128,9,56,100,1,4.03,30,17,6,2,1,4,0,0,0,0,dual,XXS,3,3,19,50,US,3.714286
129,5,5,50,0,5,1,1,0,0,0,0,0,0,0,0,yellow,XS,5,2,47,50,CN,3.75
130,5.86,5,1000,0,3.73,150,71,23,23,11,22,0,0,0,0,white,XS,6,1,30,50,CN,3.993017
131,2,2,10000,1,3.99,980,520,180,120,67,93,0,0,0,0,green,S,1,1,23,50,CN,4.04517
132,7,6,5000,0,4.38,996,654,178,94,32,38,1,0,1,0,grey,XS,8,2,41,50,CN,3.946791
133,5.66,6,100,0,3.08,13,3,3,3,0,4,0,0,0,0,black,S,50,2,35,50,CN,4.069015
134,13,17,5000,0,4.11,792,450,150,88,35,69,0,0,0,0,pink,XS,6,3,43,50,CN,3.910742
135,8,7,5000,1,3.6,1254,500,241,207,126,180,0,0,0,0,yellow,L,27,3,28,50,CN,4.080891
136,11,10,1000,1,3.78,299,120,73,55,22,29,0,0,0,0,grey,OTHER,5,3,35,50,CN,3.896074
137,8,7,20000,0,4.05,8904,4640,1964,1121,493,686,0,0,0,0,black,S,50,2,31,50,CN,4.168097
138,16,76,100,1,3.53,38,15,9,2,5,7,0,0,0,0,red,S,50,5,58,50,CN,4.272059
139,11,10,100,0,4.6,5,3,2,0,0,0,0,0,0,0,grey,OTHER,12,3,42,50,CN,4.122997
140,11,10,5000,0,3.72,1008,447,201,135,81,144,0,0,0,0,white,M,50,2,25,50,CN,4.268002
141,8,7,20000,0,4.16,6860,3906,1326,869,343,416,1,0,1,0,black,S,50,2,32,50,CN,4.283611
142,14,12,1000,1,4.04,481,267,86,60,18,50,0,0,0,0,blue,M,50,4,41,50,CN,3.894761
143,7,6,100,0,3.6,25,10,4,5,3,3,0,0,0,0,black,S,50,2,127,50,CN,4.15528
144,12,11,20000,1,3.89,2294,1099,449,362,154,230,0,0,0,0,pink,L,25,3,50,50,CN,4.153665
145,7,50,1000,0,3.49,49,16,11,10,5,7,0,0,0,0,green,S,50,2,132,50,CN,4.011628
146,2,56,100,1,3.07,28,11,3,1,3,10,0,0,0,0,blue,S,2,1,26,50,CN,3.696054
147,6,16,100,1,3.11,27,6,6,5,5,5,0,0,0,0,white,S,25,2,18,50,CN,3.874033
148,8,7,1000,1,4.07,267,148,44,40,15,20,0,0,0,0,green,S,50,3,38,50,CN,4.125683
149,8,84,20000,0,3.96,8960,4468,1850,1277,583,782,0,0,0,0,other,S,50,3,125,50,CN,4.204916
150,8,25,5000,0,4,32,19,5,1,3,4,0,0,0,0,blue,XS,50,3,43,50,CN,4.123943
151,11,22,1000,1,3.97,359,180,74,49,28,28,0,0,0,0,black,XS,50,2,30,50,CN,4.330745
152,3.66,4,5000,0,3.19,1080,327,170,211,128,244,0,0,0,0,green,S,2,1,45,50,CN,3.867547
153,1.68,2,100,1,3.67,12,6,2,1,0,3,0,0,0,0,white,XXS,1,1,40,50,CN,3.956065
154,13,11,100,0,2.5,2,0,1,0,0,1,0,0,0,0,white,S,36,3,29,50,CN,3.774194
155,13,11,1000,1,3.82,11,5,3,1,0,2,0,0,0,0,yellow,S,30,3,43,50,CN,4.006692
156,11,16,100,1,2.92,12,2,1,6,0,3,0,0,0,0,red,S,50,2,16,50,US,3.666667
157,7,9,1000,0,3.75,219,101,36,38,15,29,0,0,0,0,black,S,2,2,44,50,CN,4.152727
158,4.81,76,10000,0,4.16,3135,1695,721,416,140,163,0,0,0,0,blue,S,45,1,39,50,CN,3.92888
159,9,8,5000,0,4.29,761,476,128,90,34,33,0,0,0,0,red,M,50,3,55,50,US,4.151916
160,18,115,100,0,3.68,177,73,36,31,12,25,0,0,0,0,red,M,34,5,51,50,CN,4.156667
161,7,6,5000,1,3.63,601,245,102,121,55,78,0,0,0,0,green,S,50,2,41,50,CN,4.024765
162,16,14,10,0,3,3,0,2,0,0,1,0,0,0,0,green,S,2,4,34,50,CN,3.548387
163,5,8,1000,1,3.06,31,9,5,5,3,9,0,0,0,0,green,XXS,1,1,40,50,CN,3.995167
164,1.68,2,1000,1,3.76,51,20,13,10,2,6,0,0,0,0,black,XS,1,1,30,50,CN,3.942466
165,7,6,100,1,3.81,21,8,4,6,3,0,0,0,0,0,blue,OTHER,3,2,49,50,CN,3.772727
166,6,7,50,0,2.67,3,1,0,0,1,1,0,0,0,0,pink,S,46,2,8,50,CN,4.058952
167,13,19,1000,1,3.76,151,70,31,16,12,22,0,0,0,0,black,S,50,3,12,50,CN,3.94152
168,11,89,100,0,3.46,24,8,5,6,0,5,0,0,0,0,black,S,50,2,52,50,CN,4.385692
169,7,6,5000,0,3.29,1042,384,146,158,98,256,0,0,0,0,grey,S,4,2,46,50,CN,3.870809
170,12,11,100,0,2,3,0,1,0,0,2,0,0,0,0,pink,XS,50,3,38,50,CN,4.001132
171,6,17,100,0,4.14,93,50,18,15,8,2,0,0,0,0,black,M,37,2,74,50,US,4.166932
172,6,17,5000,0,3.28,449,165,50,83,49,102,0,0,0,0,white,XXXL,50,2,49,50,CN,4.216278
173,8,7,100,1,3.89,9,5,2,0,0,2,0,0,0,0,green,S,25,3,28,50,CN,4.080891
174,8,7,100,0,3.14,29,9,4,6,2,8,0,0,0,0,yellow,XS,5,2,32,50,CN,4.067416
175,11,84,1000,0,3.98,792,398,163,112,54,65,0,0,0,0,dual,XL,50,2,137,50,CN,4.141022
176,6,22,5000,0,4.04,548,305,87,78,29,49,0,0,0,0,pink,S,21,2,55,50,CN,3.968061
177,11,10,1000,1,3.76,168,77,32,26,7,26,0,0,0,0,black,M,50,3,42,50,CN,3.735537
178,9,8,100,1,4.16,31,17,7,4,1,2,0,0,0,0,grey,S,20,3,35,50,CN,3.974556
179,8,26,100,0,3.07,14,3,2,5,1,3,0,0,0,0,black,XXL,50,2,40,50,CN,3.186047
181,8,7,100,0,3.89,9,5,2,0,0,2,0,0,0,0,white,S,50,2,124,50,CN,4.101118
182,6,145,100,1,3.83,52,23,13,5,6,5,0,0,0,0,green,XS,49,2,49,50,CN,4.159493
183,8,17,1000,0,3.96,288,133,75,39,18,23,0,0,0,0,white,M,50,3,32,50,CN,3.901345
184,9,36,20000,0,4.09,4345,2341,878,607,230,289,0,0,0,0,black,S,50,3,42,50,CN,4.168346
185,5.65,5,5000,1,4.06,998,526,202,147,46,77,0,0,0,0,black,S,50,1,65,50,CN,4.251721
186,3,3,100,0,3.4,15,5,3,2,3,2,0,0,0,0,pink,XS,3,1,36,50,CN,3.891791
187,8,10,50,0,3.8,5,3,0,1,0,1,0,0,0,0,blue,XS,5,2,23,50,CN,3.790698
188,5.74,59,1000,0,3.99,71,41,7,10,7,6,0,0,0,0,red,XS,3,1,43,50,CN,4.181588
189,5,5,10,0,5,0,0,0,0,0,0,0,0,0,0,white,S,50,2,8,50,CN,3.837209
190,8,7,20000,1,3.61,5641,2245,1059,999,562,776,0,0,0,0,other,XXS,50,2,38,50,CN,4.03832
191,3.67,4,10000,1,4.31,2072,1314,374,208,73,103,0,0,0,0,black,OTHER,50,1,138,50,CN,4.395747
192,7,50,1000,0,3.49,49,16,11,10,5,7,0,0,0,0,green,S,50,2,132,50,CN,4.011628
193,8,7,5000,1,3.69,894,396,161,128,78,131,0,0,0,0,yellow,S,17,3,33,50,CN,4.278591
194,11,10,1000,0,3.64,357,155,65,51,25,61,0,0,0,0,blue,S,50,2,41,50,CN,4.066326
195,8,7,50,0,4,6,2,2,2,0,0,0,0,0,0,blue,XS,4,3,42,50,CN,4.159898
196,22,169,1000,1,3.38,542,195,93,92,49,113,0,0,0,0,white,M,50,5,35,50,CN,4.147415
197,8,7,10000,1,3.7,2441,1070,460,373,181,357,0,0,0,0,white,S,50,3,41,50,CN,4.066326
198,19,26,1000,1,3.01,205,57,25,43,23,57,2,1,0,1,other,L,10,6,47,40,CN,4.159667
199,11,10,1000,0,3.67,215,94,32,40,23,26,0,0,0,0,pink,S,50,2,39,50,CN,4.063525
200,6,6,1000,0,4.17,505,295,108,36,23,43,0,0,0,0,pink,XS,9,2,37,50,CN,4.348798
201,7,56,5000,1,4.16,1378,747,317,172,66,76,0,0,0,0,pink,S,15,2,41,50,CN,4.001546
202,7,6,10000,1,3.84,1978,951,368,285,144,230,0,0,0,0,white,XS,10,2,20,50,CN,4.055029
203,8,11,100,0,2.81,21,5,2,4,4,6,0,0,0,0,red,S,50,2,17,50,CN,3.580645
204,14,26,100,0,3.61,72,31,14,8,6,13,0,0,0,0,grey,XS,2,3,39,50,CN,4.087339
205,6,6,100,1,3.67,27,9,8,5,2,3,0,0,0,0,brown,XXS,5,2,38,50,CN,4.040595
206,11,12,5000,0,3.45,1045,383,181,188,109,184,0,0,0,0,black,S,50,2,79,50,CN,3.946309
207,6,21,5000,0,3.18,573,174,96,97,69,137,0,0,0,0,red,S,13,2,34,50,CN,4.11387
208,7,47,5000,0,4.02,556,308,90,69,39,50,0,0,0,0,other,M,50,2,42,50,CN,3.939482
209,6,76,10000,1,4.29,1741,1074,324,191,73,79,1,0,1,0,black,S,50,2,32,50,CN,4.183387
210,7,16,10000,0,3.71,1792,802,331,255,146,258,0,0,0,0,red,S,50,2,45,50,CN,3.907168
211,9,65,1000,1,3.7,162,70,32,26,10,24,0,0,0,0,red,M,50,3,36,50,CN,3.96472
212,8,10,50,0,5,2,2,0,0,0,0,0,0,0,0,yellow,XS,5,2,23,50,CN,3.874016
213,11,84,100,1,3.61,18,6,5,4,0,3,0,0,0,0,grey,XS,5,2,27,50,CN,3.855172
214,8,7,100000,1,3.76,11062,4663,2418,1868,842,1271,0,0,0,0,green,M,10,2,38,50,CN,4.052504
215,18,17,10000,0,4.17,3229,1834,691,340,140,224,0,0,0,0,other,OTHER,18,5,39,50,CN,4.250529
216,11,30,10,0,5,0,0,0,0,0,0,0,0,0,0,other,S,50,3,78,50,CN,4.295124
217,4.83,51,50,1,2,1,0,0,0,1,0,0,0,0,0,white,XS,3,1,39,50,VE,3.824561
218,8,7,100,1,4.57,7,5,1,1,0,0,0,0,0,0,dual,XS,2,3,37,50,CN,3.814754
219,5.85,13,1000,1,3.16,602,186,104,97,52,163,0,0,0,0,blue,XS,9,2,38,50,CN,3.894737
220,11,10,100,1,3.96,25,17,0,2,2,4,2,1,1,0,red,XS,50,2,27,50,CN,4.277078
221,9,34,100,1,4.44,18,13,3,0,1,1,0,0,0,0,black,M,50,3,39,50,CN,4.12491
222,15,101,1000,0,3.91,646,334,106,94,41,71,1,1,0,0,yellow,L,22,4,40,50,CN,4.160274
223,5,5,1000,0,4.06,197,109,37,25,6,20,0,0,0,0,white,M,50,2,39,50,CN,4.158238
224,8,7,100,1,3.52,23,9,3,4,5,2,0,0,0,0,pink,S,17,3,41,50,CN,3.933581
225,5.69,5,5000,0,4.26,798,469,174,88,30,37,1,0,1,0,black,M,50,1,51,50,US,4.236471
226,6,6,100,0,4,8,5,0,1,2,0,0,0,0,0,dual,XS,5,2,23,50,CN,3.874016
227,8,8,5000,1,4.03,579,295,119,87,42,36,0,0,0,0,black,M,50,2,41,50,CN,4.020435
228,6,41,5000,1,4.1,939,496,209,124,49,61,0,0,0,0,white,S,47,2,41,50,CN,3.949224
229,11,89,100,0,3.77,48,22,8,9,3,6,0,0,0,0,red,S,4,2,37,50,CN,4.253287
230,1.72,56,100,1,4,6,3,1,1,1,0,0,0,0,0,red,XXXS,5,1,27,36,CN,4.09716
231,5.78,26,10000,0,3.84,1426,659,287,219,112,149,0,0,0,0,white,S,50,2,37,50,CN,3.982249
232,11,10,5000,0,4.23,1109,658,217,131,33,70,0,0,0,0,black,M,50,2,48,50,CN,4.274866
233,12,11,1000,0,3.67,646,261,140,109,43,93,0,0,0,0,white,S,50,3,24,50,CN,3.891954
234,8,42,1000,0,3.5,409,158,67,74,41,69,0,0,0,0,other,S,50,3,41,50,CN,3.875963
